"代碼","代碼意義","英文說明"
"ADT*","氣乾噸","Air Dried Metric Ton"
"AML*","安瓿（注射液用之小玻 璃瓶）","Ampoule(Ampule, Ampul)"
"BAG*","袋 , 包","Bag"
"BLE*","包 , 件","Bale"
"BLL","桶 , 一桶的份量","Barrel(US)(158.9873 x 10-3m³)"
"BSN*","輛 , 部","Basin"
"BSK*","籃","Basket"
"BEM*","樑 , 桁","Beam"
"BLT*","帶 , 條","Belt"
"BHR*","馬來西亞重量單位（ 400LB ）","Bhara"
"MLD","（美）十億","Milliard"
"BIL","（歐洲）萬億","Billion (EUR)"
"BRD*","隻","Bird"
"BLA*","片","Blade"
"BLK*","塊","Block"
"BFT","木材材積單位","Board Foot"
"BMF*","木材材積單位","Board Measure Foot"
"BBN*","線軸","Bobbin"
"BOM*","顆","Bomb"
"BOT*","瓶","Bottle"
"BOX*","箱","Box"
"BGA*","英國加侖","British Gallon (Imperial Gallon)"
"BKT*","桶","Bucket"
"BUL*","堆 , 散裝量","Bulk"
"BUH*","串 , 束","Bunch"
"BDL*","捆","Bundle"
"BUA","蒲式耳（ 35.2391 立 方 公 寸）","Bushel (US)( 3.523907 x 10-2 m³)"
"BUI","蒲式耳（ 36.36874 立 方 公 寸）","Bushel (UK) (3.636 872 x 10-2 m³)"
"CAK*","個（糕餅單位）","Cake"
"CAN*","罐","Can"
"CAP*","膠 囊 , 粒 , 顆 （ 藥 用）","Capsule"
"CBY*","用藤罩（木箱）保護的 大玻璃瓶","Carboy"
"CAR*","屠體","Carcase, Carcass"
"CRD*","卡","Card"
"CTN*","（紙）箱","Carton"
"CAT*","匣","Cartridge"
"CAS*","箱 , 盒","Case"
"CSC*","桶","Cask"
"CSK*","（放貴重物品的）小箱 ,首飾盒"," Casket"
"CTY*","斤","Catty"
"CGM","公亳","Centigram"
"CLT","公勺","Centiliter"
"CMT","公分","Centimeter"
"CHS*","箱 , 匣","Chest"
"CHK*","隻","Chick"
"COL*","捲","Coil"
"CON*","筒","Cone"
"CTR*","罐 , 箱 , 容器 , 貨櫃","Container"
"CBC*","散裝貨櫃","Container Bulk Cargo"
"CPY*","冊 , 本","Copy"
"CRT*","板條箱","Crate"
"CMQ","立方公分","Cubic Centimeter"
"DMQ","立方公寸","Cubic Decimeter"
"FTQ","立方呎","Cubic Foot"
"INQ","立方吋","Cubic Inch"
"MTQ","立方公尺","Cubic Meter"
"YDQ","立方碼","Cubic Yard"
"CUC*","立方桶","Cubican"
"CUR","居禮（放射能的單位）","Curie"
"CUT*","亞麻等之長度單位 （三百碼）","Cut"
"CYL*","汽缸 , 圓筒","Cylinder"
